id	H vs not-H
CHSK_I_146	0
CI_0672	0
CHSK_I_214	0
10_009927_8	0
10_009927_9	0
10_009931_1	0
10_009927_2	0
10_009927_6	0
10_009927_7	0
Cry_265	0
1040	0
CI_0130	0
CI_0131	0
Cry_573	0
CI_0516	0
CI_0332	0
CI_1015	0
CI_1018	0
CI_1020	0
CI_1021	0
CI_1022	0
CI_1024	0
CI_1121	0
AMR_3058	0
AMR_3063	0
AMR_6251	0
AMR_3396	0
CI_1025	0
C_146	0
CI_0992	0
CI_4363	0
CI_4451	0
CI_4452	0
CE_M_10_2094	0
CI_5913	0
CI_5914	0
CI_5915	0
CI_5916	0
CI_5917	0
AMR_2238	0
AMR_2251	0
AMR_2264	0
AMR_299	0
AMR_3052	0
AMR_518	0
AMR_653	0
AMR_7312	0
AMR_7952	0
AMR_802	0
AMR_8058	0
AMR_8449	0
AMR_947	0
AMR_97	0
Cry_140	0
CI_0977	0
AMR_2407	0
AMR_57	0
AMR_4526	0
CI_0978	0
CI_0979	0
AMR_3044	0
AMR_2099	0
AMR_2205	0
C153	0
AMR_6210	0
AMR_3682	0
06_2868	0
10_048153_1	0
10_048153_2	0
C_1012	0
CE_R_09_0501	0
CA99CN070030	0
08_1722	0
CE_M_10_3107	0
CE2_R2_11_3033	0
CE2_R2_11_3075	0
CE2_R2_11_1010	0
CE2_R_11_3115	0
CE2_R_11_3189	0
CI_6434	0
CI_6435	0
C_1005	0
C_1129	0
C_1198	0
CE2_R2_11_3058	0
CAMPY2528_2012_136	0
NCTC_13260	0
NZ_pst1	0
NZ_pstt2	0
NZ_tau330	0
NZ_pstau	0
RM_1221	0
CE2_R2_11_3072	0
CE2_R2_11_3097	0
CE2_R_11_3069	0
CE2_R_11_2067	0
CE2_R_11_3183	0
CE2_R2_11_2045	0
CE2_R2_11_3153	0
33_30_2	0
1310	0
C_298	0
C_431	0
C_875	0
42_15_2	0
CI_0515	0
C_1217	0
C_1218	0
C_528	0
C_342	0
C_554	0
C_869	0
C_874	0
10_057476_7	0
CE_R_09_0098	0
37_11_1	0
37_26_1	0
C_1010	0
28_05_1	0
28_11_1	0
28_17_1	0
31_5_1	0
40_16_2	0
40_7_2	0
40_8_2	0
12_C555	0
C555	0
CE_R_11_0118	0
1083	0
C_562	0
C_1161	0
07_7330	0
CE_R_09_0536	0
CE_R_11_0067	0
10_020647_13	0
10_049149_1	0
10_055514_2	0
10_059814_1	0
10_0772	0
C_1045	0
C_1050	0
C_1061	0
C_1100	0
C_1103	0
C_1107	0
C_1110	0
C_1115	0
C_1175	0
C_1224	0
C152	0
C_472	0
C_490	0
C571	0
C_592	0
C750	0
C_788	0
C_800	0
C_815	0
C_828	0
C_836	0
C_855	0
CE_R_09_0297	0
CA99CN070023	0
CE_R2_11_0080	0
CE_R_11_0060	0
CE_R_11_0268	0
CE_R2_11_0425	0
CE_R_10_0517	0
CE_R_10_0530	0
CE_R_10_0332	0
CE_R_10_0374	0
CE_R_10_0434	0
28_06_1	0
28_09_1	0
27_25_2	0
27_30_1	0
28_16_1	0
28_26_1	0
29_12_3	0
30_13_1	0
30_25_1	0
30_27_1	0
30_5_1	0
30_6_1	0
31_19_1	0
31_26_1	0
30_11_1	0
32_16_1	0
32_6_1	0
34_10_1	0
34_18_3	0
41_28_1	0
41_5_3	0
41_18_1	0
41_2_3	0
41_25_1	0
41_29_1	0
41_30_1	0
42_21_2	0
28_15_1	0
35_27_3	0
27_18_1	0
28_10_1	0
CE_R_09_0377	0
10_055513_1	0
1049	0
1053	0
C_808	0
31_21_1	0
31_6_1	0
31_7_3	0
41_14_3	0
42_13_3	0
42_18_3	0
42_17_1	0
08_1716	0
CE_R_10_0314	0
CE_R_10_0105	0
C_1158	0
C_816	0
C_359	0
C_373	0
C_979	0
Cry_561	0
Cry_562	0
Cry_566	0
Cry_601	0
C_067	0
C_565	0
C_990	0
CI_0545	0
CI_0546	0
CI_0547	0
CI_0548	0
CI_0550	0
CI_0554	0
CI_0555	0
CI_0556	0
CI_0557	0
CI_0558	0
CE2_R_11_2031	0
CI_0559	0
CI_0549	0
CAMPY2528_2012_99	0
CAMPY2528_2012_194	0
CAMPY2528_2012_409	0
08_2965_2	0
CE_R_10_0063	0
C_495	0
CE_R_09_0262	0
CE_R2_11_0221	0
10_020647_14	0
CI_0560	0
1314	0
08_1703	0
1038	0
C_1166	0
C_1170	0
C_258	0
C_259	0
