id	Project	Year	Date.num	Province	Region	Source	Sample type	CGF	eCGF	eCGF_100	eCGF95	MLST-ST	MLST-CC
08_0001	FNC	2007	39444	ON	Central	Human	Stool	957.001	40	0957.001.001	957.001	45	ST-45 complex
07_6898	FNC	2007	39393	ON	Central	Human	Stool	949.001	40	0949.001.003	949.001	45	ST-45 complex
13_016105_0028	MBS	2013	41359	BC	West	Chicken	Breast	957.005	40	0957.005.004	957.005	45	ST-45 complex
13_090637_0019	MBS	2013	41598	ON	Central	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_054425_0021	MBS	2013	41466	BC	West	Chicken	Breast	882.007	40	0882.007.001	882.007	267	ST-283 complex
13_093124_0023	MBS	2013	41599	BC	West	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_043167_0013	MBS	2013	41429	BC	West	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_012206_0009	MBS	2013	41317	Undefined	Central	Chicken	Breast	918.003	40	0918.003.006	918.003	1003	ST-45 complex
13_042638_0009	MBS	2013	41428	BC	West	Chicken	Carcass	882.007	40	0882.007.001	882.007	267	ST-283 complex
08_0099	FNC	2007	39284	ON	Central	Chicken	Undefined	882.005	40	0882.005.017	882.005	267	ST-283 complex
CA10SH18588025701	CIPARS	2018	43237	BC	West	Chicken	Fecal	882.005	39	0882.005.004	882.005	267	ST-283 complex
CA10SH18599023901	CIPARS	2018	43297	BC	West	Turkey	Fecal	882.005	39	0882.005.004	882.005	267	ST-283 complex
18_6717	FNC	2018	43327	ON	Central	Human	Stool	882.005	39	0882.005.004	882.005	267	ST-283 complex
CA10SH18588026701	CIPARS	2018	43244	ON	Central	Chicken	Fecal	882.007	39	0882.007.001	882.007	267	ST-283 complex
13_093750_0020	MBS	2013	41603	BC	West	Chicken	Fecal	904.005	40	0904.005.004	904.005	583	ST-45 complex
13_093750_0018	MBS	2013	41603	BC	West	Chicken	Fecal	904.005	39	0904.005.004	904.005	583	ST-45 complex
13_086668_0018	MBS	2013	41586	Undefined	Atlantic	Chicken	Breast	904.005	39	0904.005.004	904.005	583	ST-45 complex
13_046177_0029	MBS	2013	41438	BC	West	Chicken	Carcass	904.005	40	0904.005.004	904.005	583	ST-45 complex
13_039859_0012	MBS	2013	41430	BC	West	Chicken	Thigh	882.002	40	0882.002.002	882.002	-	-
13_024530_0028	MBS	2013	41360	BC	West	Chicken	Fecal	882.002	40	0882.002.002	882.002	-	-
13_017617_0017	MBS	2013	41337	BC	West	Chicken	Breast	882.002	40	0882.002.002	882.002	538	ST-45 complex
13_079139_0035	MBS	2013	41551	BC	West	Chicken	Fecal	882.002	39	0882.002.002	882.002	-	-
13_088597_0032	MBS	2013	41584	BC	West	Chicken	Fecal	882.002	40	0882.002.002	882.002	-	-
13_004829_0013	MBS	2013	Undefined	Undefined	Undefined	Chicken	Undefined	882.002	40	0882.002.002	882.002	-	-
13_017554_0015	MBS	2013	41337	BC	West	Chicken	Fecal	882.002	40	0882.002.002	882.002	-	-
13_086668_0012	MBS	2013	41585	AB	West	Chicken	Breast	882.002	39	0882.002.002	882.002	-	-
13_088597_0031	MBS	2013	41590	Undefined	Atlantic	Chicken	Fecal	882.002	39	0882.002.002	882.002	-	-
13_084658_0008	MBS	2013	41570	BC	West	Chicken	Fecal	882.002	40	0882.002.002	882.002	538	ST-45 complex
13_012562_0015	MBS	2013	41318	Undefined	Atlantic	Chicken	Fecal	882.005	40	0882.005.019	882.005	538	ST-45 complex
12_098829_0022	MBS	2012	41236	SK	West	Chicken	Breast	882.005	40	0882.005.019	882.005	538	ST-45 complex
